time_ms,neuron_0_voltage,neuron_1_voltage
3.548752834239999032e+01,6.972527003220869712e-01,6.349882316322933429e-01
3.551020407935999401e+01,6.956716284393716920e-01,6.335483490209744550e-01
3.553287981631999060e+01,6.940941417536691249e-01,6.321117314495903194e-01
3.555555555327999429e+01,6.925202321352807999e-01,6.306783715144222979e-01
3.557823129023999087e+01,6.909498914729430563e-01,6.292482618285401008e-01
3.560090702719999456e+01,6.893831116737849651e-01,6.278213950217640393e-01
3.562358276415999114e+01,6.878198846632869179e-01,6.263977637406267229e-01
3.564625850111999483e+01,6.862602023852387712e-01,6.249773606483353117e-01
3.566893423807999142e+01,6.847040568016984352e-01,6.235601784247336576e-01
3.569160997503999511e+01,6.831514398929504628e-01,6.221462097662646684e-01
3.571428571199999169e+01,6.816023436574647487e-01,6.207354473859326704e-01
3.573696144895998827e+01,6.800567601118551186e-01,6.193278840132655505e-01
3.575963718591999196e+01,6.785146812908385838e-01,6.179235123942777852e-01
3.578231292287998855e+01,6.769760992471937078e-01,6.165223252914325824e-01
3.580498865983999224e+01,6.754410060517200831e-01,6.151243154836050220e-01
3.582766439679998882e+01,6.739093937931974754e-01,6.137294757660444189e-01
3.585034013375999251e+01,6.723812545783447447e-01,6.123377989503374641e-01
3.587301587071998910e+01,6.708565805317794339e-01,6.109492778643711430e-01
3.589569160767999279e+01,6.693353637959771341e-01,6.095639053522957651e-01
3.591836734463998937e+01,6.678175965312308504e-01,6.081816742744878823e-01
3.594104308159998595e+01,6.663032709156107014e-01,6.068025775075138739e-01
3.596371881855999675e+01,6.647923791449237285e-01,6.054266079440928650e-01
3.598639455551999333e+01,6.632849134326734841e-01,6.040537584930604220e-01
3.600907029247999702e+01,6.617808660100199525e-01,6.026840220793316938e-01
3.603174602943999361e+01,6.602802291257395817e-01,6.013173916438651068e-01
3.605442176639999730e+01,6.587829950461852047e-01,5.999538601436261720e-01
3.607709750335999388e+01,6.572891560552464041e-01,5.985934205515508477e-01
3.609977324031999046e+01,6.557987044543095445e-01,5.972360658565095681e-01
3.612244897727999415e+01,6.543116325622181373e-01,5.958817890632708281e-01
3.614512471423999074e+01,6.528279327152333167e-01,5.945305831924655449e-01
3.616780045119999443e+01,6.513475972669942049e-01,5.931824412805507540e-01
3.619047618815999101e+01,6.498706185884788322e-01,5.918373563797739711e-01
3.621315192511999470e+01,6.483969890679643910e-01,5.904953215581369985e-01
3.623582766207999128e+01,1.363434893950007609e+00,1.241680544019621468e+00
3.625850339903999497e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.628117913599999156e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.630385487295999525e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.632653060991999183e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.634920634687998842e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.637188208383999211e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.639455782079998869e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.641723355775999238e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.643990929471998896e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.646258503167999265e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.648526076863998924e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.650793650559999293e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.653061224255998951e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.655328797951998610e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.657596371647998978e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.659863945343999347e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.662131519039999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.664399092735999375e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.666666666431999744e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.668934240127999402e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.671201813823999061e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.673469387519999430e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.675736961215999088e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.678004534911999457e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.680272108607999115e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.682539682303999484e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.684807255999999143e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.687074829695999512e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.689342403391999170e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.691609977087999539e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.693877550783999197e+01,1.502153903302900773e+00,1.641195519074382325e+00
3.696145124479998856e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.698412698175999225e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.700680271871998883e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.702947845567999252e+01,0.000000000000000000e+00,0.000000000000000000e+00
